distance_from_last_transaction,ratio_to_median_purchase_price,used_chip,used_pin_number,online_order
1.7857611671157465,2.228341646362739,1.0,0.0,1.0
0.7166502940150921,1.093309692424452,1.0,0.0,1.0
0.2254239852090961,0.5516550788140919,1.0,0.0,1.0
0.1675191485589769,0.3860258354922479,0.0,0.0,1.0
4.9493515859185,0.5427178673644749,1.0,0.0,1.0
0.905713204636958,0.2353472926197212,1.0,0.0,1.0
4.703396500252288,1.5162379496537337,0.0,0.0,1.0
1.3142803744395364,1.8908389512782773,0.0,0.0,0.0
4.746535764302051,0.1283900273281329,0.0,0.0,1.0
0.3207354272228163,0.754910073767774,0.0,1.0,1.0
1.2276624270572774,0.5473035780339348,0.0,0.0,1.0
2.90249294003638,0.0772641999930423,1.0,0.0,0.0
2.7642265282263123,0.0968946538711753,0.0,0.0,1.0
6.779354873576411,2.0854262064215923,1.0,0.0,1.0
0.3289926788787011,0.3170669623409903,0.0,0.0,1.0
0.2938975183564677,4.232275293074203,1.0,0.0,1.0
4.19748339747031,0.5293034485454584,1.0,0.0,0.0
0.0084780883235065,0.2911526080435198,1.0,0.0,1.0
0.2430171897329708,0.8087634115989912,0.0,0.0,1.0
7.921490930752682,0.7357475552268633,0.0,0.0,0.0
0.4706702715229826,0.2220146950078507,0.0,0.0,1.0
17.921450395362093,3.0219377903242384,0.0,0.0,1.0
4.87761450669987,0.9906776838022632,0.0,0.0,0.0
0.9826029742527188,0.0615542456750967,1.0,0.0,0.0
0.046636955516243,0.3160210102069886,0.0,1.0,1.0
0.1083027652424302,0.9124645299729638,0.0,1.0,0.0
10.21947989451684,0.4969527162949148,0.0,0.0,0.0
0.0763308253261509,0.3406171327466884,0.0,0.0,1.0
0.2610715192030294,0.4725533081955543,0.0,0.0,0.0
0.1408199039969042,0.4011860894088916,0.0,1.0,0.0
0.0482524773369761,0.7241574953371518,0.0,0.0,1.0
5.723635733890548,0.4261470319837299,1.0,1.0,0.0
0.3902798247321931,0.7041291437213105,0.0,0.0,1.0
13.438657901850949,1.380205307928335,0.0,0.0,1.0
0.4948525265603807,0.8200386890782831,0.0,0.0,1.0
6.187058790276213,1.7964302788319793,1.0,0.0,0.0
4.269689379090401,0.2091486887920402,0.0,0.0,1.0
18.774342043423307,0.8094164433624168,1.0,0.0,0.0
5.8622355608179895,0.2520115216595895,1.0,0.0,1.0
0.8153412135919786,2.08659137758196,0.0,0.0,0.0
0.3147023387917912,0.8177121984095118,0.0,0.0,1.0
8.053063215867487,1.171717805057794,0.0,0.0,0.0
2.252942449703369,0.9101293423990394,0.0,0.0,1.0
17.087268888978162,2.629687743349581,0.0,0.0,0.0
1.144327508455058,0.3083950952399186,1.0,0.0,1.0
1.579209556435872,5.013660225894104,0.0,0.0,0.0
0.3278803368592595,1.076226738914038,0.0,0.0,0.0
0.1851703814866984,0.6132612295862253,1.0,0.0,0.0
1.0503678583699942,0.3924783164452567,0.0,0.0,1.0
1.837999041422569,0.3709900553959241,1.0,0.0,0.0
2.317580583593432,0.3299723613170491,1.0,0.0,1.0
0.0800023489610544,4.167199088880296,0.0,0.0,1.0
0.2194906830081195,5.410517346960677,1.0,0.0,1.0
0.2104393837380752,0.3226544057834368,1.0,0.0,0.0
0.2390531651653302,1.3537509062134825,0.0,0.0,0.0
0.2929398354785607,0.204103026769653,0.0,1.0,0.0
10.42334518002586,6.5121017198931845,0.0,0.0,1.0
0.1741910232754557,0.1670599565071956,0.0,0.0,1.0
1.2636041735659012,1.7884347955173996,0.0,0.0,1.0
0.3705247264870386,0.4137301322201735,1.0,0.0,1.0
14.84925208126722,0.1717387778037274,0.0,0.0,1.0
0.7106131214343328,2.548744045431029,0.0,0.0,1.0
0.186387557871838,3.882686586962718,0.0,0.0,1.0
1.4709186243556265,1.7405856179489774,0.0,0.0,0.0
5.496584639108614,2.5387271724691103,0.0,0.0,0.0
4.092534658858665,0.3716871214372579,1.0,0.0,1.0
